Genera,O2Req,OralorRespiratoryPath
Bacteria.Firmicutes.Clostridia.Peptostreptococcales_Tissierellales.Peptostreptococcaceae.Filifactor,Anaerobe,
Bacteria.Firmicutes.Clostridia.Peptostreptococcales_Tissierellales.Peptostreptococcaceae.Peptostreptococcus,Anaerobe,
Bacteria.Firmicutes.Clostridia.Peptostreptococcales_Tissierellales.Peptostreptococcales_Tissierellales_fa.Anaerococcus,Anaerobe,
Bacteria.Firmicutes.Clostridia.Peptostreptococcales_Tissierellales.Peptostreptococcales_Tissierellales_fa.Finegoldia,Anaerobe,
Bacteria.Firmicutes.Clostridia.Peptostreptococcales_Tissierellales.Peptostreptococcales_Tissierellales_fa.Parvimonas,Anaerobe,
Bacteria.Firmicutes.Clostridia.Peptostreptococcales_Tissierellales.Peptostreptococcales_Tissierellales_fa.Peptoniphilus,Anaerobe,
Bacteria.Firmicutes.Firmicutes_uncl.Firmicutes_uncl.Firmicutes_uncl.Firmicutes_uncl,Variable,
Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae.Phascolarctobacterium,Anaerobe,
Bacteria.Firmicutes.Negativicutes.Veillonellales_Selenomonadales.Selenomonadaceae.Centipeda,Anaerobe,
Bacteria.Firmicutes.Negativicutes.Veillonellales_Selenomonadales.Selenomonadaceae.Selenomonas,Variable,Oral
Bacteria.Firmicutes.Negativicutes.Veillonellales_Selenomonadales.Veillonellaceae.Anaeroglobus,Anaerobe,
Bacteria.Firmicutes.Negativicutes.Veillonellales_Selenomonadales.Veillonellaceae.Dialister,Variable,
Bacteria.Firmicutes.Negativicutes.Veillonellales_Selenomonadales.Veillonellaceae.Megasphaera,Anaerobe,
Bacteria.Firmicutes.Negativicutes.Veillonellales_Selenomonadales.Veillonellaceae.Veillonella,Anaerobe,Oral
Bacteria.Firmicutes.Negativicutes.Veillonellales_Selenomonadales.Veillonellaceae.Veillonellaceae_ge,Anaerobe,
Bacteria.Firmicutes.Negativicutes.Veillonellales_Selenomonadales.Veillonellaceae.Veillonellaceae_uncl,Anaerobe,
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Fusobacterium,Anaerobe,Oral
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Leptotrichiaceae.Leptotrichia,Variable,Oral
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Leptotrichiaceae.Sneathia,Anaerobe,
Bacteria.Myxococcota.Polyangia.Polyangiales.Polyangiaceae.Pajaroellobacter,Anaerobe,
Bacteria.Patescibacteria.Gracilibacteria.Absconditabacteriales_SR1.Absconditabacteriales_SR1_fa.Absconditabacteriales_SR1_ge,NA,
Bacteria.Patescibacteria.Saccharimonadia.Saccharimonadales.Saccharimonadaceae.TM7x,NA,
Bacteria.Patescibacteria.Saccharimonadia.Saccharimonadales.Saccharimonadales_uncl.Saccharimonadales_uncl,NA,
Bacteria.Planctomycetota.Phycisphaerae.Phycisphaerales.Phycisphaeraceae.SM1A02,Facultative anaerobe,
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae.Brevundimonas,Variable,
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae.Caulobacter,Aerobe,
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae.Caulobacteraceae_Uncltrd,Variable,
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae.Bosea,Aerobe,
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae.Methylobacterium_Methylorubrum,Aerobe,
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae.Brucella,Aerobe,
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae.Mesorhizobium,Aerobe,
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Xanthobacteraceae.Bradyrhizobium,Aerobe,
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Xanthobacteraceae.Xanthobacteraceae_uncl,Aerobe,
Bacteria.Proteobacteria.Alphaproteobacteria.Rickettsiales.Mitochondria.Mitochondria_ge,NA,
Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Sphingomonas,Aerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Shewanellaceae.Shewanella,Facultative anaerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Alcaligenaceae.Alcaligenaceae_uncl,Variable,
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Lautropia,Facultative anaerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Ralstonia,Aerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Acidovorax,Aerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Aquabacterium,Microaerophile,
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Comamonadaceae_uncl,Variable,
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Delftia,Aerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Paucibacter,Aerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Schlegelella,Aerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Tepidimonas,Aerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Neisseriaceae.Kingella,Variable,
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Neisseriaceae.Neisseria,Aerobe,Oral
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Neisseriaceae.Neisseriaceae_uncl,Variable,
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Neisseriaceae.Neisseriaceae_Uncltrd,Variable,
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacterales_uncl.Enterobacterales_uncl,Facultative anaerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Enterobacteriaceae_uncl,Facultative anaerobe,Pathogenic
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia_Shigella,Facultative anaerobe,Pathogenic
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Morganellaceae.Proteus,Facultative anaerobe,Pathogenic
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Yersiniaceae.Yersinia,Facultative anaerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Gammaproteobacteria_uncl.Gammaproteobacteria_uncl.Gammaproteobacteria_uncl,Variable,
Bacteria.Proteobacteria.Gammaproteobacteria.Legionellales.Legionellaceae.Legionella,Aerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Actinobacillus,Facultative anaerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Aggregatibacter,Facultative anaerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Haemophilus,Facultative anaerobe,Oral
Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Pasteurellaceae_uncl,Facultative anaerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter,Aerobe,Pathogenic
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Enhydrobacter,Facultative anaerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Moraxella,Aerobe,
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas,Aerobe,Pathogenic
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Stenotrophomonas,Aerobe,Pathogenic
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Xanthomonas,Aerobe,
Bacteria.Proteobacteria.Proteobacteria_uncl.Proteobacteria_uncl.Proteobacteria_uncl.Proteobacteria_uncl,Variable,
Bacteria.Spirochaetota.Spirochaetia.Spirochaetales.Spirochaetaceae.Treponema,Variable,
Bacteria.Synergistota.Synergistia.Synergistales.Synergistaceae.Fretibacterium,Anaerobe,
